Date,Open,High,Low,Close,Adj Close,Volume
2025-09-25,253.210007,257.170013,251.710007,256.869995,256.621216,55202100
2025-09-26,254.100006,257.600006,253.779999,255.460007,255.212601,46076300
2025-09-29,254.559998,255.000000,253.009995,254.429993,254.183594,40127700
2025-09-30,254.860001,255.919998,253.110001,254.630005,254.383408,37704300
2025-10-01,255.039993,258.790009,254.929993,255.449997,255.202606,48713900
2025-10-02,256.579987,258.179993,254.149994,257.130005,256.880981,42630200
2025-10-03,254.669998,259.239990,253.949997,258.019989,257.770111,49155600
2025-10-06,257.989990,259.070007,255.050003,256.690002,256.441406,44664100
2025-10-07,256.809998,257.399994,255.429993,256.480011,256.231628,31955800
2025-10-08,256.519989,258.519989,256.109985,258.059998,257.810089,36496900
2025-10-09,257.809998,258.000000,253.139999,254.039993,253.793961,38322000
2025-10-10,254.940002,256.380005,244.000000,245.270004,245.032471,61999100
2025-10-13,249.380005,249.690002,245.559998,247.660004,247.420151,38142900
2025-10-14,246.600006,248.850006,244.699997,247.770004,247.530045,35478000
2025-10-15,249.490005,251.820007,247.470001,249.339996,249.098526,33893600
2025-10-16,248.250000,249.039993,245.130005,247.449997,247.210358,39777000
2025-10-17,248.020004,253.380005,247.270004,252.289993,252.045654,49147000
2025-10-20,255.889999,264.380005,255.630005,262.239990,261.986023,90483000
2025-10-21,261.880005,265.290009,261.829987,262.769989,262.515503,46695900
2025-10-22,262.649994,262.850006,255.429993,258.450012,258.199707,45015300
2025-10-23,259.940002,260.619995,258.010010,259.579987,259.328583,32754900
2025-10-24,261.190002,264.130005,259.179993,262.820007,262.565491,38253700
2025-10-27,264.880005,269.119995,264.649994,268.809998,268.549652,44888200
2025-10-28,268.989990,269.890015,268.149994,269.000000,268.739471,41534800
2025-10-29,269.279999,271.410004,267.109985,269.700012,269.438812,51086700
2025-10-30,271.989990,274.140015,268.480011,271.399994,271.137146,69886500
2025-10-31,276.989990,277.320007,269.160004,270.369995,270.108154,86167100
2025-11-03,270.420013,270.850006,266.250000,269.049988,268.789429,50194600
2025-11-04,268.329987,271.489990,267.619995,270.040009,269.778473,49274800
